地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊
阿尔及利亚,1449,3382,126,1508,425,12.6%,4270,8
科威特,2254,3288,186,1012,22,0.7%,420,78
泰国,270,2931,15,2609,52,1.8%,6930,4
哈萨克斯坦,2084,2791,129,682,25,0.9%,1860,15
巴林,1450,2647,59,1189,8,0.3%,160,165
匈牙利,1805,2583,57,498,280,10.8%,970,27
希腊,1806,2517,11,577,134,5.3%,1110,23
阿曼,1675,2049,93,364,10,0.5%,500,41
克罗地亚,814,2039,14,1166,59,2.9%,410,50
乌兹别克斯坦,1090,1887,33,789,8,0.4%,3280,6
伊拉克,470,1820,57,1263,87,4.8%,4040,5
亚美尼亚,931,1808,69,848,29,1.6%,290,62
冰岛,174,1792,2,1608,10,0.6%,30,597
阿富汗,1426,1703,68,220,57,3.3%,3680,5
爱沙尼亚,1364,1647,8,233,50,3%,130,127
阿塞拜疆,485,1645,28,1139,21,1.3%,1000,16
喀麦隆,779,1621,103,786,56,3.5%,2405,7
波斯尼亚和黑塞哥维那,846,1565,30,659,60,3.8%,350,45
加纳,1384,1550,271,155,11,0.7%,2950,5
新西兰,271,1470,9,1180,19,1.3%,480,31
立陶宛,934,1449,12,474,41,2.8%,290,50
波多黎各,1339,1416,0,-1,77,5.4%,341.1,42
斯洛文尼亚,1098,1402,8,221,83,5.9%,210,67
北马其顿,825,1386,19,500,61,4.4%,210,66
斯洛伐克,960,1381,6,403,18,1.3%,550,25
古巴,814,1369,52,501,54,3.9%,1122,12
保加利亚,1087,1348,66,205,56,4.2%,700,19
尼日利亚,994,1273,87,239,40,3.1%,20100,1
科特迪瓦,668,1150,34,468,14,1.2%,2490,5
吉布提,610,1023,15,411,2,0.2%,94,109
几内亚,781,996,42,208,7,0.7%,1270,8
玻利维亚,820,950,59,80,50,5.3%,1121,8
突尼斯,695,949,17,216,38,4%,1180,8
拉脱维亚,538,818,8,267,13,1.6%,190,43
塞浦路斯,655,817,6,148,14,1.7%,120,68
安道尔,354,738,7,344,40,5.4%,7.3,1017
阿尔巴尼亚,288,726,14,410,28,3.9%,290,25
钻石公主号邮轮,54,712,0,645,13,1.8%,-1,-1
黎巴嫩,541,710,3,145,24,3.4%,610,12
尼日尔,317,696,3,350,29,4.2%,2150,3
吉尔吉斯斯坦,292,695,17,395,8,1.2%,640,11
哥斯达黎加,425,695,6,264,6,0.9%,500,14
塞内加尔,380,671,57,283,8,1.2%,1670,4
洪都拉斯,531,661,36,69,61,9.2%,911,7
布基纳法索,137,632,0,453,42,6.6%,1919,3
乌拉圭,216,606,33,375,15,2.5%,350,17
斯里兰卡,434,567,42,126,7,1.2%,2100,3
圣马力诺,433,538,25,64,41,7.6%,3.2,1681
危地马拉,436,500,43,49,15,3%,1658.2,3
格鲁吉亚,341,496,29,149,6,1.2%,390,13
巴勒斯坦,399,495,11,92,4,0.8%,505.2,10
刚果,381,459,26,50,28,6.1%,8130,1
马耳他,160,450,0,286,4,0.9%,40,113
约旦,103,447,0,337,7,1.6%,1010,4
索马里,403,436,0,10,23,5.3%,1518,3
留尼汪岛,117,417,0,300,-1,0%,82.7,50
马约特岛,253,401,47,144,4,1%,21.6,186
马里,254,389,45,112,23,5.9%,1951.7,2
肯尼亚,243,363,0,106,14,3.9%,5140,1
牙买加,315,350,17,28,7,2%,284,12
毛里求斯,24,332,0,299,9,2.7%,126,26
委内瑞拉,178,325,5,137,10,3.1%,3280,1
萨尔瓦多,226,323,24,89,8,2.5%,642,5
黑山,161,321,1,153,7,2.2%,62.2,52
马恩岛,47,308,0,243,18,5.8%,8.5,364
坦桑尼亚,241,299,0,48,10,3.3%,5910,1
泽西岛,259,278,0,-1,19,6.8%,9.8,284
越南,45,270,0,225,-1,0%,9740,0
赤道几内亚,250,258,44,7,1,0.4%,130,20
苏丹,196,237,24,20,21,8.9%,4312,1
巴拉圭,134,228,5,85,9,3.9%,705.3,3
马尔代夫,197,214,54,17,-1,0%,44,49
根西岛,203,209,0,-1,6,2.9%,6.5,320
刚果,175,200,0,19,6,3%,-1,-1
法罗群岛,9,187,0,178,-1,0%,4.8,386
卢旺达,95,183,7,88,-1,0%,1200,2
加蓬,143,176,4,30,3,1.7%,203,9
马提尼克,84,175,5,77,14,8%,38,46
瓜德罗普岛,55,149,0,82,12,8.1%,40,37
缅甸,131,146,2,10,5,3.4%,5288.5,0
直布罗陀,9,141,0,131,1,0.7%,3.4,410
关岛,39,141,0,97,5,3.5%,16.6,85
文莱,18,138,0,119,1,0.7%,40,35
埃塞俄比亚,71,124,1,50,3,2.4%,10500,0
利比里亚,87,124,0,25,12,9.7%,470,3
马达加斯加,62,124,1,62,-1,0%,2520,0
柬埔寨,5,122,0,117,-1,0%,1650,1
特立尼达和多巴哥,50,116,0,58,8,6.9%,121.8,10
法属圭亚那,23,111,0,87,1,0.9%,29,38
百慕大群岛,64,109,10,39,6,5.5%,6.5,167
佛得角,104,106,16,1,1,0.9%,54,20
阿鲁巴岛,30,100,0,68,2,2%,10.5,95
多哥,30,98,0,62,6,6.1%,425,2
摩纳哥,48,94,0,42,4,4.3%,3.8,245
塞拉利昂,79,93,11,10,4,4.3%,760,1
赞比亚,48,88,4,37,3,3.4%,1760,1
列支敦士登,26,82,0,55,1,1.2%,3.8,216
巴哈马,47,80,6,22,11,13.8%,37.2,22
乌干达,33,79,0,46,-1,0%,4430,0
巴巴多斯,42,79,2,31,6,7.6%,28.1,28
莫桑比克,64,76,6,12,-1,0%,3050,0
圣马丁岛,28,74,0,33,13,17.6%,3.1,239
海地,61,74,0,7,6,8.1%,1200,1
圭亚那,55,74,1,12,7,9.5%,73.8,10
开曼群岛,61,70,0,8,1,1.4%,6.4,109
贝宁,30,64,0,33,1,1.6%,1120,1
利比亚,41,61,0,18,2,3.3%,627.7,1
斯威士兰,48,59,3,10,1,1.7%,139,4
法属波里尼西亚,16,57,0,41,-1,0%,28,20
维尔京群岛,6,55,0,46,3,5.5%,10.8,51
几内亚比绍,49,53,0,3,1,1.9%,160,3
尼泊尔,36,52,3,16,-1,0%,2898,0
乍得,31,46,0,15,-1,0%,1490,0
叙利亚,26,43,0,14,3,7%,1827,0
厄立特里亚,26,39,0,13,-1,0%,670,1
蒙古,29,38,1,9,-1,0%,320,1
马拉维,29,36,1,4,3,8.3%,1809.2,0
津巴布韦,25,31,0,2,4,12.9%,1690,0
安哥拉,18,26,0,6,2,7.7%,2925,0
安提瓜和巴布达,10,24,0,11,3,12.5%,10.4,23
东帝汶,22,24,0,2,-1,0%,129.6,2
博茨瓦纳,21,22,0,-1,1,4.5%,225,1
老挝,12,19,0,7,-1,0%,706.2,0
中非,9,19,0,10,-1,0%,474,0
斐济,8,18,0,10,-1,0%,88.5,2
伯利兹,11,18,0,5,2,11.1%,38.7,5
格林纳达,11,18,0,7,-1,0%,11.2,16
新喀里多尼亚群岛,1,18,0,17,-1,0%,28,6
纳米比亚,9,16,0,7,-1,0%,253,1
荷属安的列斯群岛,4,16,0,11,1,6.3%,17.6,9
多米尼克国,6,16,0,10,-1,0%,7.2,22
圣卢西亚,0,15,0,15,-1,0%,17.6,9
圣克里斯托弗和尼维斯,13,15,0,2,-1,0%,5.7,26
马里亚纳群岛,12,14,0,-1,2,14.3%,16,9
圣文森特岛,9,14,0,5,-1,0%,11,13
尼加拉瓜,3,13,1,7,3,23.1%,615,0
福克兰群岛,2,13,0,11,-1,0%,0.3,445
布隆迪,7,12,0,4,1,8.3%,1086,0
特克斯和凯科斯群岛,6,11,0,4,1,9.1%,3.5,32
蒙特塞拉特岛,8,11,0,2,1,9.1%,1.3,85
塞舌尔,5,11,0,6,-1,0%,9.6,11
格陵兰岛,0,11,0,11,-1,0%,7.6,14
苏里南,2,10,0,7,1,10%,59.7,2
冈比亚,1,10,0,8,1,10%,210,0
梵蒂冈,7,9,0,2,-1,0%,0.1,1125
巴布亚新几内亚,8,8,0,-1,-1,0%,808,0
毛里塔尼亚,0,7,0,6,1,14.3%,450,0
不丹,4,7,0,3,-1,0%,75.4,1
圣巴泰勒米岛,0,6,0,6,-1,0%,0.5,119
维尔京群岛,2,6,1,3,1,16.7%,3.1,19
南苏丹,6,6,1,-1,-1,0%,1253,0
圣多美和普林西比,4,4,0,-1,-1,0%,20.4,2
安圭拉岛,2,3,0,1,-1,0%,1.5,20
也门,0,1,0,1,-1,0%,-1,-1
圣皮埃尔岛及密克隆岛,1,1,0,-1,-1,0%,0.1,88
