地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比
斯威士兰,60,71,6,10,1,1.4%,139,5,10.0
开曼群岛,59,70,0,10,1,1.4%,6.4,109,10.0
贝宁,30,64,0,33,1,1.6%,1120,1,33.0
利比亚,41,61,0,18,2,3.3%,627.7,1,9.0
法属波里尼西亚,9,58,0,49,-1,0%,28,21,49.0
尼泊尔,41,57,2,16,-1,0%,2898,0,16.0
维尔京群岛,6,55,0,46,3,5.5%,10.8,51,15.333333333333334
乍得,31,52,0,19,2,3.8%,1490,0,9.5
叙利亚,19,43,0,21,3,7%,1827,0,7.0
厄立特里亚,20,39,0,19,-1,0%,670,1,19.0
蒙古,28,38,0,10,-1,0%,320,1,10.0
马拉维,28,36,0,5,3,8.3%,1809.2,0,1.6666666666666667
南苏丹,34,34,0,-1,-1,0%,1253,0,1.0
津巴布韦,23,32,1,5,4,12.5%,1690,0,1.25
安哥拉,19,27,1,6,2,7.4%,2925,0,3.0
东帝汶,18,24,0,6,-1,0%,129.6,2,6.0
安提瓜和巴布达,10,24,0,11,3,12.5%,10.4,23,3.6666666666666665
博茨瓦纳,22,23,0,-1,1,4.3%,225,1,1.0
格林纳达,9,19,0,10,-1,0%,11.2,17,10.0
老挝,12,19,0,7,-1,0%,706.2,0,7.0
中非,9,19,0,10,-1,0%,474,0,10.0
斐济,6,18,0,12,-1,0%,88.5,2,12.0
伯利兹,10,18,0,6,2,11.1%,38.7,5,3.0
新喀里多尼亚群岛,1,18,0,17,-1,0%,28,6,17.0
多米尼克国,3,16,0,13,-1,0%,7.2,22,13.0
纳米比亚,8,16,0,8,-1,0%,253,1,8.0
荷属安的列斯群岛,4,16,0,11,1,6.3%,17.6,9,11.0
圣文森特岛,7,15,1,8,-1,0%,11,14,8.0
圣克里斯托弗和尼维斯,11,15,0,4,-1,0%,5.7,26,4.0
圣卢西亚,0,15,0,15,-1,0%,17.6,9,15.0
马里亚纳群岛,12,14,0,-1,2,14.3%,16,9,0.5
尼加拉瓜,3,13,0,7,3,23.1%,615,0,2.3333333333333335
福克兰群岛,2,13,0,11,-1,0%,0.3,445,11.0
特克斯和凯科斯群岛,6,12,1,5,1,8.3%,3.5,34,5.0
布隆迪,7,12,0,4,1,8.3%,1086,0,4.0
塞舌尔,5,11,0,6,-1,0%,9.6,11,6.0
格陵兰岛,0,11,0,11,-1,0%,7.6,14,11.0
蒙特塞拉特岛,8,11,0,2,1,9.1%,1.3,85,2.0
梵蒂冈,8,10,0,2,-1,0%,0.1,1250,2.0
苏里南,2,10,0,7,1,10%,59.7,2,7.0
冈比亚,1,10,0,8,1,10%,210,0,8.0
毛里塔尼亚,1,8,0,6,1,12.5%,450,0,6.0
巴布亚新几内亚,8,8,0,-1,-1,0%,808,0,1.0
圣多美和普林西比,4,8,4,4,-1,0%,20.4,4,4.0
不丹,2,7,0,5,-1,0%,75.4,1,5.0
圣巴泰勒米岛,0,6,0,6,-1,0%,0.5,119,6.0
维尔京群岛,2,6,0,3,1,16.7%,3.1,19,3.0
安圭拉岛,0,3,0,3,-1,0%,1.5,20,3.0
也门,0,1,0,1,-1,0%,-1,-1,1.0
圣皮埃尔岛及密克隆岛,1,1,0,-1,-1,0%,0.1,88,1.0
