地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊
芬兰,2047,4740,119,2500,193,4.1%,560,85
摩洛哥,3344,4246,68,739,163,3.8%,3660,12
阿根廷,2666,4003,112,1140,197,4.9%,4510,9
卢森堡,518,3729,6,3123,88,2.4%,60,622
阿尔及利亚,1527,3517,135,1558,432,12.3%,4270,8
摩尔多瓦,2455,3481,73,925,101,2.9%,400,87
科威特,1176,3440,210,2241,23,0.7%,420,82
哈萨克斯坦,2240,3019,142,754,25,0.8%,1860,16
泰国,232,2938,9,2652,54,1.8%,6930,4
巴林,1556,2810,76,1246,8,0.3%,160,176
匈牙利,1842,2649,83,516,291,11%,970,27
希腊,1821,2534,17,577,136,5.4%,1110,23
阿曼,1757,2131,51,364,10,0.5%,500,43
克罗地亚,752,2047,9,1232,63,3.1%,410,50
乌兹别克斯坦,973,1939,18,958,8,0.4%,3280,6
亚美尼亚,971,1867,62,866,30,1.6%,290,64
伊拉克,473,1847,27,1286,88,4.8%,4040,5
阿富汗,1542,1828,172,228,58,3.2%,3680,5
冰岛,174,1792,0,1608,10,0.6%,30,597
喀麦隆,842,1705,0,805,58,3.4%,2405,7
阿塞拜疆,494,1678,33,1162,22,1.3%,1000,17
爱沙尼亚,1370,1660,4,240,50,3%,130,128
波斯尼亚和黑塞哥维那,840,1585,49,682,63,4%,350,45
加纳,1384,1550,0,155,11,0.7%,2950,5
新西兰,239,1472,0,1214,19,1.3%,480,31
立陶宛,931,1449,11,474,44,3%,290,50
波多黎各,1339,1416,0,-1,77,5.4%,341.1,42
斯洛文尼亚,1099,1408,6,223,86,6.1%,210,67
北马其顿,781,1399,13,553,65,4.6%,210,67
古巴,808,1389,32,525,56,4%,1122,12
保加利亚,1107,1387,48,222,58,4.2%,700,20
斯洛伐克,941,1384,2,423,20,1.4%,550,25
尼日利亚,1042,1337,91,255,40,3%,20100,1
科特迪瓦,651,1164,39,499,14,1.2%,2490,5
几内亚,910,1163,0,246,7,0.6%,1270,9
吉布提,556,1035,12,477,2,0.2%,94,110
玻利维亚,863,1014,84,98,53,5.2%,1121,9
突尼斯,649,967,10,279,39,4%,1180,8
拉脱维亚,556,836,6,267,13,1.6%,190,44
塞内加尔,518,823,65,296,9,1.1%,1670,5
塞浦路斯,659,822,7,148,15,1.8%,120,69
安道尔,318,743,0,385,40,5.4%,7.3,1024
阿尔巴尼亚,286,736,0,422,28,3.8%,290,25
黎巴嫩,548,717,3,145,24,3.3%,610,12
钻石公主号邮轮,54,712,0,645,13,1.8%,-1,-1
吉尔吉斯斯坦,284,708,13,416,8,1.1%,640,11
洪都拉斯,559,702,34,79,64,9.1%,911,8
尼日尔,287,701,12,385,29,4.1%,2150,3
哥斯达黎加,404,697,2,287,6,0.9%,500,14
布基纳法索,124,635,3,469,42,6.6%,1919,3
乌拉圭,219,620,10,386,15,2.4%,350,18
斯里兰卡,455,588,94,126,7,1.2%,2100,3
圣马力诺,433,538,0,64,41,7.6%,3.2,1681
危地马拉,466,530,27,49,15,2.8%,1658.2,3
格鲁吉亚,349,511,11,156,6,1.2%,390,13
巴勒斯坦,399,495,0,92,4,0.8%,505.2,10
索马里,444,480,46,10,26,5.4%,1518,3
刚果,385,471,17,56,30,6.4%,8130,1
马耳他,160,450,2,286,4,0.9%,40,113
约旦,100,449,3,342,7,1.6%,1010,4
留尼汪岛,118,418,0,300,-1,0%,82.7,51
马里,272,408,19,113,23,5.6%,1951.7,2
马约特岛,253,401,0,144,4,1%,21.6,186
牙买加,328,364,45,29,7,1.9%,284,13
肯尼亚,243,363,20,106,14,3.9%,5140,1
萨尔瓦多,240,345,25,97,8,2.3%,642,5
毛里求斯,23,334,3,302,9,2.7%,126,27
委内瑞拉,177,329,2,142,10,3%,3280,1
黑山,161,321,0,153,7,2.2%,62.2,52
马恩岛,47,308,0,243,18,5.8%,8.5,364
坦桑尼亚,241,299,0,48,10,3.3%,5910,1
泽西岛,261,280,33,-1,19,6.8%,9.8,286
苏丹,232,275,38,21,22,8%,4312,1
越南,45,270,0,225,-1,0%,9740,0
赤道几内亚,250,258,0,7,1,0.4%,130,20
巴拉圭,126,230,0,95,9,3.9%,705.3,3
马尔代夫,209,226,35,17,-1,0%,44,51
加蓬,165,211,0,43,3,1.4%,203,10
根西岛,203,209,0,-1,6,2.9%,6.5,320
刚果,180,207,0,19,8,3.9%,-1,-1
卢旺达,114,207,8,93,-1,0%,1200,2
法罗群岛,9,187,0,178,-1,0%,4.8,386
马提尼克,84,175,0,77,14,8%,38,46
瓜德罗普岛,55,149,0,82,12,8.1%,40,37
缅甸,131,146,0,10,5,3.4%,5288.5,0
直布罗陀,9,141,5,131,1,0.7%,3.4,410
关岛,39,141,0,97,5,3.5%,16.6,85
文莱,18,138,0,119,1,0.7%,40,35
利比里亚,92,133,4,25,16,12%,470,3
马达加斯加,53,128,0,75,-1,0%,2520,1
法属圭亚那,32,124,0,91,1,0.8%,29,43
埃塞俄比亚,71,124,1,50,3,2.4%,10500,0
柬埔寨,5,122,0,117,-1,0%,1650,1
特立尼达和多巴哥,50,116,1,58,8,6.9%,121.8,10
百慕大群岛,60,110,0,44,6,5.5%,6.5,168
佛得角,107,109,3,1,1,0.9%,54,20
阿鲁巴岛,30,100,0,68,2,2%,10.5,95
多哥,31,99,2,62,6,6.1%,425,2
摩纳哥,49,95,0,42,4,4.2%,3.8,248
塞拉利昂,79,93,0,10,4,4.3%,760,1
赞比亚,44,89,1,42,3,3.4%,1760,1
列支敦士登,26,82,1,55,1,1.2%,3.8,216
巴巴多斯,35,80,0,39,6,7.5%,28.1,28
巴哈马,47,80,2,22,11,13.8%,37.2,22
乌干达,33,79,4,46,-1,0%,4430,0
海地,62,76,2,8,6,7.9%,1200,1
莫桑比克,64,76,0,12,-1,0%,3050,0
圭亚那,55,74,0,12,7,9.5%,73.8,10
圣马丁岛,28,74,1,33,13,17.6%,3.1,239
几内亚比绍,54,73,1,18,1,1.4%,160,5
开曼群岛,61,70,0,8,1,1.4%,6.4,109
斯威士兰,54,65,0,10,1,1.5%,139,5
贝宁,30,64,10,33,1,1.6%,1120,1
利比亚,41,61,0,18,2,3.3%,627.7,1
法属波里尼西亚,16,57,0,41,-1,0%,28,20
维尔京群岛,6,55,1,46,3,5.5%,10.8,51
尼泊尔,36,52,0,16,-1,0%,2898,0
乍得,31,46,0,15,-1,0%,1490,0
叙利亚,26,43,1,14,3,7%,1827,0
厄立特里亚,26,39,0,13,-1,0%,670,1
蒙古,29,38,0,9,-1,0%,320,1
马拉维,29,36,2,4,3,8.3%,1809.2,0
津巴布韦,23,32,0,5,4,12.5%,1690,0
安哥拉,19,27,1,6,2,7.4%,2925,0
安提瓜和巴布达,10,24,0,11,3,12.5%,10.4,23
东帝汶,22,24,0,2,-1,0%,129.6,2
博茨瓦纳,21,22,0,-1,1,4.5%,225,1
老挝,12,19,0,7,-1,0%,706.2,0
中非,9,19,0,10,-1,0%,474,0
格林纳达,11,18,0,7,-1,0%,11.2,16
伯利兹,11,18,0,5,2,11.1%,38.7,5
新喀里多尼亚群岛,1,18,0,17,-1,0%,28,6
斐济,8,18,0,10,-1,0%,88.5,2
纳米比亚,9,16,0,7,-1,0%,253,1
荷属安的列斯群岛,4,16,0,11,1,6.3%,17.6,9
多米尼克国,6,16,0,10,-1,0%,7.2,22
圣文森特岛,10,15,0,5,-1,0%,11,14
圣克里斯托弗和尼维斯,13,15,0,2,-1,0%,5.7,26
圣卢西亚,0,15,0,15,-1,0%,17.6,9
马里亚纳群岛,12,14,0,-1,2,14.3%,16,9
福克兰群岛,2,13,0,11,-1,0%,0.3,445
尼加拉瓜,3,13,1,7,3,23.1%,615,0
特克斯和凯科斯群岛,6,12,0,5,1,8.3%,3.5,34
布隆迪,7,12,0,4,1,8.3%,1086,0
塞舌尔,5,11,0,6,-1,0%,9.6,11
格陵兰岛,0,11,0,11,-1,0%,7.6,14
蒙特塞拉特岛,8,11,0,2,1,9.1%,1.3,85
苏里南,2,10,0,7,1,10%,59.7,2
冈比亚,1,10,0,8,1,10%,210,0
梵蒂冈,7,9,0,2,-1,0%,0.1,1125
圣多美和普林西比,4,8,0,4,-1,0%,20.4,4
巴布亚新几内亚,8,8,0,-1,-1,0%,808,0
不丹,4,7,0,3,-1,0%,75.4,1
毛里塔尼亚,0,7,0,6,1,14.3%,450,0
维尔京群岛,2,6,0,3,1,16.7%,3.1,19
圣巴泰勒米岛,0,6,0,6,-1,0%,0.5,119
南苏丹,6,6,0,-1,-1,0%,1253,0
安圭拉岛,2,3,0,1,-1,0%,1.5,20
圣皮埃尔岛及密克隆岛,1,1,0,-1,-1,0%,0.1,88
也门,0,1,0,1,-1,0%,-1,-1
