地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
斯洛文尼亚,1076,1366,9,211,0.8%,550,65
斯洛伐克,1022,1325,45,288,187,210,24
北马其顿,931,1259,28,272,2.6%,3680,60
阿富汗,1009,1226,84,177,210,1122,3
古巴,808,1189,50,341,2.9%,2405,11
喀麦隆,723,1163,0,397,134,2950,5
加纳,1046,1154,112,99,1.9%,700,4
保加利亚,841,1081,49,190,462,94,15
吉布提,789,974,29,183,6.6%,2490,104
科特迪瓦,628,952,37,310,75,1180,4
突尼斯,681,909,17,190,1.1%,20100,8
尼日利亚,648,873,117,197,95,120,0
塞浦路斯,679,790,12,98,1.7%,190,66
拉脱维亚,634,778,13,133,260,1270,41
几内亚,591,761,66,164,4.9%,7.3,6
安道尔,377,723,6,309,144,-1,996
钻石公主号邮轮,54,712,0,645,2.9%,500,-1
黎巴嫩,547,682,5,113,206,1121,11
哥斯达黎加,495,681,12,180,4.7%,290,14
玻利维亚,588,672,11,44,149,2150,6
阿尔巴尼亚,251,663,25,385,3.5%,640,23
尼日尔,447,662,2,193,127,1919,3
吉尔吉斯斯坦,321,631,22,302,3%,350,10
布基纳法索,181,609,19,389,276,911,3
乌拉圭,200,549,8,337,7.5%,3.2,16
洪都拉斯,441,519,16,31,80,505.2,6
圣马力诺,386,488,12,62,2.2%,1670,1525
巴勒斯坦,384,480,13,92,65,40,10
塞内加尔,216,479,30,257,1.8%,1010,3
马耳他,276,444,1,165,151,390,111
约旦,113,435,3,315,4.3%,82.7,4
格鲁吉亚,308,420,3,107,159,8130,11
留尼汪岛,172,410,0,238,4.8%,1658.2,50
刚果,289,359,9,45,402,2100,0
危地马拉,307,342,22,25,13.8%,126,2
斯里兰卡,222,334,12,105,50,21.6,2
毛里求斯,59,329,0,261,1.8%,62.2,26
马约特岛,197,326,27,125,75,8.5,151
黑山,195,316,1,116,2.7%,5140,51
马恩岛,80,307,7,212,121,3280,363
肯尼亚,215,303,7,74,5%,1951.7,1
委内瑞拉,166,298,3,122,14,1518,1
马里,203,293,35,73,0.6%,5910,2
索马里,274,286,49,4,239,9740,2
坦桑尼亚,263,284,30,11,10.5%,284,0
越南,45,268,0,223,20,642,0
牙买加,218,252,10,28,0.9%,9.8,9
萨尔瓦多,175,250,12,67,8,705.3,4
泽西岛,233,245,0,-1,0.4%,6.5,250
巴拉圭,142,213,5,62,48,4.8,3
根西岛,203,209,0,-1,2.5%,-1,320
法罗群岛,9,187,0,178,10,38,386
刚果,164,186,0,16,0.6%,4312,-1
加蓬,141,166,36,24,8,1200,8
马提尼克,77,164,1,73,0.5%,40,43
苏丹,136,163,33,14,7,40,0
卢旺达,69,153,0,84,0.4%,16.6,1
瓜德罗普岛,60,148,0,76,83,3.4,37
文莱,20,138,0,117,5.1%,5288.5,35
关岛,34,136,0,97,45,1650,82
直布罗陀,4,132,0,127,2.8%,2520,384
缅甸,113,127,2,9,24,10500,0
柬埔寨,12,122,0,110,1.6%,121.8,1
马达加斯加,69,121,0,52,20,29,0
埃塞俄比亚,92,116,2,21,1.3%,470,0
特立尼达和多巴哥,70,115,1,37,16,10.5,9
法属圭亚那,22,107,0,84,1.1%,6.5,37
利比里亚,73,101,0,20,54,3.8,2
阿鲁巴岛,30,100,0,68,3.8%,425,95
百慕大群岛,55,99,12,39,38,44,152
摩纳哥,65,94,0,26,2.7%,130,245
多哥,26,88,2,56,67,3.8,2
马尔代夫,70,86,3,16,4.9%,28.1,20
赤道几内亚,76,84,4,7,79,1760,6
列支敦士登,25,81,0,55,5.8%,3.1,214
巴巴多斯,43,76,0,27,15,54,27
赞比亚,36,74,4,35,1.1%,73.8,0
圣马丁岛,39,73,1,22,56,6.4,235
佛得角,71,73,1,1,4.4%,37.2,14
圭亚那,51,67,1,9,40,4430,9
开曼群岛,57,66,0,7,3.3%,1200,103
巴哈马,44,65,5,12,40,760,17
乌干达,18,63,3,45,3.4%,627.7,0
海地,56,62,1,2,43,28,1
塞拉利昂,55,61,0,6,3.7%,1120,1
利比亚,44,60,8,15,9,10.8,1
法属波里尼西亚,21,57,1,36,0.8%,160,20
贝宁,26,54,0,27,50,2898,0
维尔京群岛,4,53,0,46,4.6%,1827,49
几内亚比绍,47,50,0,3,2,3050,3
尼泊尔,41,48,11,7,0.2%,670,0
叙利亚,33,42,3,6,14,320,0
莫桑比克,33,41,0,8,1.5%,1809.2,0
厄立特里亚,33,39,0,6,38,1490,1
蒙古,27,35,1,8,4.2%,139,1
马拉维,27,33,1,3,28,1690,0
乍得,25,33,0,8,3.2%,2925,0
斯威士兰,22,31,7,8,13,10.4,2
津巴布韦,22,28,3,2,1.6%,129.6,0
安哥拉,17,25,5,6,11,225,0
安提瓜和巴布达,11,24,1,10,1.4%,706.2,23
东帝汶,22,23,0,1,6,38.7,2
博茨瓦纳,21,22,0,-1,0.8%,88.5,1
老挝,15,19,0,4,37,28,0
伯利兹,11,18,0,5,5.1%,7.2,5
斐济,10,18,0,8,13,253,2
新喀里多尼亚群岛,1,18,0,17,1.8%,5.7,6
多米尼克国,7,16,0,9,22,17.6,22
纳米比亚,10,16,0,6,3.2%,11.2,1
圣克里斯托弗和尼维斯,14,15,0,1,6,474,26
圣卢西亚,0,15,0,15,0.9%,16,9
格林纳达,9,15,0,6,40,17.6,13
中非,4,14,2,10,6%,11,0
马里亚纳群岛,12,14,0,-1,27,0.3,9
荷属安的列斯群岛,2,14,0,11,4.1%,3.5,8
圣文森特岛,10,13,1,3,22,7.6,12
福克兰群岛,1,12,0,11,3.3%,9.6,411
特克斯和凯科斯群岛,6,11,0,4,8,1.3,32
格陵兰岛,0,11,0,11,1.3%,1086,14
塞舌尔,6,11,0,5,39,59.7,11
蒙特塞拉特岛,9,11,0,2,6.4%,615,85
布隆迪,6,11,6,4,12,210,0
苏里南,3,10,0,6,2.2%,0.1,2
尼加拉瓜,1,10,0,7,47,808,0
冈比亚,7,10,0,2,9.1%,75.4,0
梵蒂冈,7,9,0,2,40,450,1125
巴布亚新几内亚,8,8,0,-1,8.2%,0.5,0
不丹,5,7,0,2,4,3.1,1
毛里塔尼亚,0,7,0,6,0.8%,1253,0
圣巴泰勒米岛,0,6,0,6,6,20.4,119
维尔京群岛,1,5,0,3,1.3%,1.5,16
南苏丹,4,4,0,-1,3,0.1,0
