地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊
瓜德罗普岛,55,149,0,82,12,8.1%,40,37
缅甸,131,146,5,10,5,3.4%,5288.5,0
关岛,39,141,2,97,5,3.5%,16.6,85
文莱,18,138,0,119,1,0.7%,40,35
直布罗陀,4,136,3,131,1,0.7%,3.4,395
埃塞俄比亚,79,123,5,41,3,2.4%,10500,0
马达加斯加,61,123,1,62,-1,0%,2520,0
柬埔寨,5,122,0,117,-1,0%,1650,1
利比里亚,84,120,3,25,11,9.2%,470,3
特立尼达和多巴哥,54,115,0,53,8,7%,121.8,9
法属圭亚那,23,111,4,87,1,0.9%,29,38
百慕大群岛,65,109,0,39,5,4.6%,6.5,167
阿鲁巴岛,30,100,0,68,2,2%,10.5,95
多哥,28,96,6,62,6,6.3%,425,2
摩纳哥,48,94,0,42,4,4.3%,3.8,245
佛得角,88,90,2,1,1,1.1%,54,17
塞拉利昂,73,86,0,10,3,3.5%,760,1
赞比亚,44,84,0,37,3,3.6%,1760,0
列支敦士登,25,81,0,55,1,1.2%,3.8,214
巴巴多斯,42,79,1,31,6,7.6%,28.1,28
巴哈马,52,78,0,15,11,14.1%,37.2,21
莫桑比克,64,76,24,12,-1,0%,3050,0
乌干达,29,75,1,46,-1,0%,4430,0
圭亚那,55,74,3,12,7,9.5%,73.8,10
圣马丁岛,39,73,0,22,12,16.4%,3.1,235
海地,60,72,0,6,6,8.3%,1200,1
开曼群岛,61,70,4,8,1,1.4%,6.4,109
利比亚,41,61,1,18,2,3.3%,627.7,1
法属波里尼西亚,16,57,0,41,-1,0%,28,20
斯威士兰,45,56,20,10,1,1.8%,139,4
贝宁,26,54,0,27,1,1.9%,1120,0
维尔京群岛,5,54,0,46,3,5.6%,10.8,50
几内亚比绍,49,52,2,3,-1,0%,160,3
尼泊尔,39,51,1,12,-1,0%,2898,0
乍得,31,46,6,15,-1,0%,1490,0
叙利亚,28,42,0,11,3,7.1%,1827,0
厄立特里亚,26,39,0,13,-1,0%,670,1
蒙古,29,38,1,9,-1,0%,320,1
马拉维,27,34,0,4,3,8.8%,1809.2,0
津巴布韦,25,31,2,2,4,12.9%,1690,0
安哥拉,17,25,0,6,2,8%,2925,0
安提瓜和巴布达,10,24,0,11,3,12.5%,10.4,23
东帝汶,22,24,1,2,-1,0%,129.6,2
博茨瓦纳,21,22,0,-1,1,4.5%,225,1
老挝,12,19,0,7,-1,0%,706.2,0
中非,9,19,0,10,-1,0%,474,0
斐济,8,18,0,10,-1,0%,88.5,2
格林纳达,11,18,3,7,-1,0%,11.2,16
新喀里多尼亚群岛,1,18,0,17,-1,0%,28,6
伯利兹,11,18,0,5,2,11.1%,38.7,5
多米尼克国,6,16,0,10,-1,0%,7.2,22
纳米比亚,9,16,0,7,-1,0%,253,1
荷属安的列斯群岛,4,16,2,11,1,6.3%,17.6,9
圣克里斯托弗和尼维斯,13,15,0,2,-1,0%,5.7,26
圣卢西亚,0,15,0,15,-1,0%,17.6,9
马里亚纳群岛,12,14,0,-1,2,14.3%,16,9
圣文森特岛,9,14,0,5,-1,0%,11,13
福克兰群岛,2,13,1,11,-1,0%,0.3,445
尼加拉瓜,2,12,0,7,3,25%,615,0
布隆迪,7,12,0,4,1,8.3%,1086,0
蒙特塞拉特岛,8,11,0,2,1,9.1%,1.3,85
特克斯和凯科斯群岛,6,11,0,4,1,9.1%,3.5,32
格陵兰岛,0,11,0,11,-1,0%,7.6,14
塞舌尔,5,11,0,6,-1,0%,9.6,11
冈比亚,1,10,0,8,1,10%,210,0
苏里南,2,10,0,7,1,10%,59.7,2
梵蒂冈,7,9,0,2,-1,0%,0.1,1125
巴布亚新几内亚,8,8,0,-1,-1,0%,808,0
毛里塔尼亚,0,7,0,6,1,14.3%,450,0
不丹,4,7,0,3,-1,0%,75.4,1
维尔京群岛,2,6,0,3,1,16.7%,3.1,19
圣巴泰勒米岛,0,6,0,6,-1,0%,0.5,119
南苏丹,5,5,0,-1,-1,0%,1253,0
圣多美和普林西比,4,4,0,-1,-1,0%,20.4,2
安圭拉岛,2,3,0,1,-1,0%,1.5,20
也门,0,1,0,1,-1,0%,-1,-1
圣皮埃尔岛及密克隆岛,1,1,0,-1,-1,0%,0.1,88
