地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
约旦,108,441,2,326,7=1.6%,1010,4
危地马拉,389,430,42,30,11=2.6%,1658.2,3
斯里兰卡,304,420,79,109,7=1.7%,2100,2
刚果,339,416,17,49,28=6.7%,8130,1
留尼汪岛,174,412,2,238,-1=0%,82.7,50
马约特岛,206,354,28,144,4=1.1%,21.6,164
肯尼亚,231,343,16,98,14=4.1%,5140,1
毛里求斯,37,331,0,285,9=2.7%,126,26
索马里,304,328,42,8,16=4.9%,1518,2
马里,217,325,16,87,21=6.5%,1951.7,2
黑山,191,319,3,123,5=1.6%,62.2,51
委内瑞拉,176,318,13,132,10=3.1%,3280,1
马恩岛,60,308,0,230,18=5.8%,8.5,364
牙买加,253,288,5,28,7=2.4%,284,10
坦桑尼亚,263,284,0,11,10=3.5%,5910,0
萨尔瓦多,191,274,11,75,8=2.9%,642,4
越南,45,270,2,225,-1=0%,9740,0
泽西岛,233,245,0,-1,12=4.9%,9.8,250
巴拉圭,136,223,7,78,9=4%,705.3,3
赤道几内亚,206,214,0,7,1=0.5%,130,16
根西岛,203,209,0,-1,6=2.9%,6.5,320
刚果,175,200,0,19,6=3%,-1,-1
法罗群岛,9,187,0,178,-1=0%,4.8,386
卢旺达,89,176,1,87,-1=0%,1200,1
苏丹,144,174,11,14,16=9.2%,4312,0
加蓬,143,172,1,26,3=1.7%,203,8
马提尼克,83,170,6,73,14=8.2%,38,45
瓜德罗普岛,55,149,1,82,12=8.1%,40,37
缅甸,130,144,12,9,5=3.5%,5288.5,0
关岛,37,139,3,97,5=3.6%,16.6,84
文莱,18,138,0,119,1=0.7%,40,35
马尔代夫,121,137,30,16,-1=0%,44,31
直布罗陀,3,133,1,129,1=0.8%,3.4,387
埃塞俄比亚,90,122,1,29,3=2.5%,10500,0
柬埔寨,12,122,0,110,-1=0%,1650,1
马达加斯加,61,122,1,61,-1=0%,2520,0
利比里亚,84,117,16,25,8=6.8%,470,2
特立尼达和多巴哥,62,115,0,45,8=7%,121.8,9
法属圭亚那,23,111,0,87,1=0.9%,29,38
阿鲁巴岛,30,100,0,68,2=2%,10.5,95
百慕大群岛,55,99,0,39,5=5.1%,6.5,152
摩纳哥,55,94,0,35,4=4.3%,3.8,245
多哥,25,90,2,59,6=6.7%,425,2
佛得角,86,88,6,1,1=1.1%,54,16
赞比亚,44,84,10,37,3=3.6%,1760,0
塞拉利昂,70,82,21,10,2=2.4%,760,1
列支敦士登,25,81,0,55,1=1.2%,3.8,214
巴巴多斯,40,77,0,31,6=7.8%,28.1,27
乌干达,29,75,11,46,-1=0%,4430,0
圭亚那,56,73,3,9,8=11%,73.8,10
圣马丁岛,39,73,0,22,12=16.4%,3.1,235
海地,60,72,10,6,6=8.3%,1200,1
巴哈马,47,72,2,14,11=15.3%,37.2,19
开曼群岛,61,70,0,8,1=1.4%,6.4,109
莫桑比克,53,65,5,12,-1=0%,3050,0
利比亚,41,61,0,18,2=3.3%,627.7,1
法属波里尼西亚,21,57,0,36,-1=0%,28,20
贝宁,26,54,0,27,1=1.9%,1120,0
维尔京群岛,5,54,1,46,3=5.6%,10.8,50
几内亚比绍,49,52,0,3,-1=0%,160,3
尼泊尔,39,49,0,10,-1=0%,2898,0
叙利亚,33,42,0,6,3=7.1%,1827,0
乍得,32,40,7,8,-1=0%,1490,0
厄立特里亚,33,39,0,6,-1=0%,670,1
蒙古,28,37,1,9,-1=0%,320,1
斯威士兰,25,36,5,10,1=2.8%,139,3
马拉维,27,33,0,3,3=9.1%,1809.2,0
津巴布韦,23,29,1,2,4=13.8%,1690,0
安哥拉,17,25,0,6,2=8%,2925,0
东帝汶,22,24,0,2,-1=0%,129.6,2
安提瓜和巴布达,11,24,0,10,3=12.5%,10.4,23
博茨瓦纳,21,22,0,-1,1=4.5%,225,1
老挝,15,19,0,4,-1=0%,706.2,0
中非,9,19,5,10,-1=0%,474,0
斐济,10,18,0,8,-1=0%,88.5,2
新喀里多尼亚群岛,1,18,0,17,-1=0%,28,6
伯利兹,11,18,0,5,2=11.1%,38.7,5
荷属安的列斯群岛,4,16,0,11,1=6.3%,17.6,9
纳米比亚,9,16,0,7,-1=0%,253,1
多米尼克国,7,16,0,9,-1=0%,7.2,22
圣卢西亚,0,15,0,15,-1=0%,17.6,9
圣克里斯托弗和尼维斯,14,15,0,1,-1=0%,5.7,26
格林纳达,9,15,0,6,-1=0%,11.2,13
圣文森特岛,9,14,1,5,-1=0%,11,13
马里亚纳群岛,12,14,0,-1,2=14.3%,16,9
福克兰群岛,2,13,0,11,-1=0%,0.3,445
布隆迪,7,12,1,4,1=8.3%,1086,0
蒙特塞拉特岛,8,11,0,2,1=9.1%,1.3,85
塞舌尔,5,11,0,6,-1=0%,9.6,11
格陵兰岛,0,11,0,11,-1=0%,7.6,14
尼加拉瓜,1,11,1,7,3=27.3%,615,0
特克斯和凯科斯群岛,6,11,0,4,1=9.1%,3.5,32
冈比亚,7,10,0,2,1=10%,210,0
苏里南,3,10,0,6,1=10%,59.7,2
梵蒂冈,7,9,0,2,-1=0%,0.1,1125
巴布亚新几内亚,8,8,0,-1,-1=0%,808,0
不丹,4,7,0,3,-1=0%,75.4,1
毛里塔尼亚,0,7,0,6,1=14.3%,450,0
圣巴泰勒米岛,0,6,0,6,-1=0%,0.5,119
南苏丹,5,5,1,-1,-1=0%,1253,0
维尔京群岛,1,5,0,3,1=20%,3.1,16
圣多美和普林西比,4,4,0,-1,-1=0%,20.4,2
安圭拉岛,2,3,0,1,-1=0%,1.5,20
圣皮埃尔岛及密克隆岛,1,1,0,-1,-1=0%,0.1,88
也门,0,1,0,1,-1=0%,-1,-1
